char,project_layout_preference,char_map_candidate_count,char_map_top_rule_candidate_count,chosen_map_id,chosen_physical_key_id,resolution_note
ฝ,TH,1,1,TH_Slash_base,Slash,unique
พ,TH,1,1,TH_KeyR_base,KeyR,unique
ฟ,TH,1,1,TH_KeyA_base,KeyA,unique
ภ,TH,1,1,TH_Digit4_base,Digit4,unique
ย,TH,1,1,TH_KeyP_base,KeyP,unique
ร,TH,1,1,TH_KeyI_base,KeyI,unique
ฤ,TH,1,1,TH_KeyA_shift,KeyA,unique
ล,TH,1,1,TH_BracketRight_base,BracketRight,unique
ฦ,TH,1,1,TH_Slash_shift,Slash,unique
ว,TH,1,1,TH_Semicolon_base,Semicolon,unique
ศ,TH,1,1,TH_KeyL_shift,KeyL,unique
ษ,TH,1,1,TH_KeyK_shift,KeyK,unique
ส,TH,1,1,TH_KeyL_base,KeyL,unique
ห,TH,1,1,TH_KeyS_base,KeyS,unique
ฬ,TH,1,1,TH_Period_shift,Period,unique
อ,TH,1,1,TH_KeyV_base,KeyV,unique
ฮ,TH,1,1,TH_KeyV_shift,KeyV,unique
ฯ,TH,1,1,TH_KeyO_shift,KeyO,unique
ะ,TH,1,1,TH_KeyT_base,KeyT,unique
ั,TH,1,1,TH_KeyY_base,KeyY,unique
า,TH,1,1,TH_KeyK_base,KeyK,unique
ำ,TH,1,1,TH_KeyE_base,KeyE,unique
ิ,TH,1,1,TH_KeyB_base,KeyB,unique
ี,TH,1,1,TH_KeyU_base,KeyU,unique
ึ,TH,1,1,TH_Digit7_base,Digit7,unique
ุ,TH,1,1,TH_Digit6_base,Digit6,unique
ู,TH,1,1,TH_Digit6_shift,Digit6,unique
ฺ,TH,1,1,TH_KeyB_shift,KeyB,unique
฿,TH,1,1,TH_Digit7_shift,Digit7,unique
เ,TH,1,1,TH_KeyG_base,KeyG,unique
แ,TH,1,1,TH_KeyC_base,KeyC,unique
โ,TH,1,1,TH_KeyF_shift,KeyF,unique
ใ,TH,1,1,TH_Period_base,Period,unique
ไ,TH,1,1,TH_KeyW_base,KeyW,unique
ๅ,TH,1,1,TH_Digit1_base,Digit1,unique
ๆ,TH,1,1,TH_KeyQ_base,KeyQ,unique
็,TH,1,1,TH_KeyH_shift,KeyH,unique
่,TH,1,1,TH_KeyJ_base,KeyJ,unique
้,TH,1,1,TH_KeyH_base,KeyH,unique
๊,TH,1,1,TH_KeyU_shift,KeyU,unique
๋,TH,1,1,TH_KeyJ_shift,KeyJ,unique
์,TH,1,1,TH_KeyN_shift,KeyN,unique
ํ,TH,1,1,TH_KeyY_shift,KeyY,unique
๐,EN,1,1,TH_KeyQ_shift,KeyQ,unique
๑,EN,1,1,TH_Digit2_shift,Digit2,unique
๒,EN,1,1,TH_Digit3_shift,Digit3,unique
๓,EN,1,1,TH_Digit4_shift,Digit4,unique
๔,EN,1,1,TH_Digit5_shift,Digit5,unique
๕,EN,1,1,TH_Digit8_shift,Digit8,unique
๖,EN,1,1,TH_Digit9_shift,Digit9,unique
๗,EN,1,1,TH_Digit0_shift,Digit0,unique
๘,EN,1,1,TH_Minus_shift,Minus,unique
๙,EN,1,1,TH_Equal_shift,Equal,unique
